Date,Month,Day,Calories_Burned,Steps,Minutes_Sedentary,Minutes_Lightly_Active,Minutes_Fairly_Active,Minutes_Very_Active,Activity_Calories,Minutes_Asleep,Minutes_Awake,Number_Awakenings,Time_In_Bed,Minutes_REM_Sleep,Minutes_Light_Sleep,Minutes_Deep_Sleep
9/30/2019,Sep,Mon,"2,481","8,724",781,192,7,9,950,275,85,26,360,30,207,38
10/1/2019,Oct,Tue,"2,649","9,696",803,262,2,13,"1,183",370,58,29,428,50,257,63
10/2/2019,Oct,Wed,"2,640","9,980",764,211,16,21,"1,113",349,51,28,400,82,210,57
10/3/2019,Oct,Thu,"2,506","8,765",793,221,6,20,"1,038",345,74,32,419,42,228,75
10/4/2019,Oct,Fri,"2,817","12,469",774,200,8,39,"1,326",467,94,54,561,29,386,52
10/5/2019,Oct,Sat,"2,628","11,059",648,145,26,60,"1,153",316,74,28,390,44,215,57
10/6/2019,Oct,Sun,"2,791","8,746",757,247,28,18,"1,278",387,67,23,454,103,218,66
10/7/2019,Oct,Mon,"2,598","8,662",749,210,9,18,"1,073",369,117,27,486,79,209,81
10/8/2019,Oct,Tue,"2,766","10,465",721,169,16,48,"1,226",393,77,39,470,109,223,61
10/9/2019,Oct,Wed,"2,649","9,760",732,206,14,18,"1,066",279,50,15,329,80,139,60
10/10/2019,Oct,Thu,"2,532","8,068",847,252,6,6,"1,048",368,94,37,462,71,231,66
10/11/2019,Oct,Fri,"2,471","8,270",765,172,16,25,944,366,79,34,445,40,245,81
10/12/2019,Oct,Sat,"2,948","10,716",663,265,26,41,"1,556",426,80,42,506,93,249,84
10/13/2019,Oct,Sun,"2,700","9,358",710,169,15,40,"1,139",271,71,15,342,61,163,47
10/14/2019,Oct,Mon,"3,232","15,516",774,238,24,62,"1,752",361,63,36,424,66,242,53
10/15/2019,Oct,Tue,"2,507","8,821",783,215,9,9,"1,011",347,85,25,432,48,243,56
10/16/2019,Oct,Wed,"2,887","12,849",737,186,31,54,"1,423",210,52,15,262,23,133,54
10/17/2019,Oct,Thu,"2,517","8,763",944,205,11,18,"1,009",294,61,26,355,57,188,49
10/18/2019,Oct,Fri,"2,612","9,843",811,231,20,23,"1,171",389,103,38,492,50,243,96
10/19/2019,Oct,Sat,"2,629","8,472",655,274,10,9,"1,212",339,81,30,420,86,161,92
10/20/2019,Oct,Sun,"2,656","9,446",773,197,16,34,"1,187",344,87,36,431,56,204,84
10/21/2019,Oct,Mon,"2,914","13,147",732,217,15,45,"1,411",329,61,25,390,64,190,75
10/22/2019,Oct,Tue,"2,465","8,895",839,177,20,14,947,346,60,31,406,77,198,71
10/23/2019,Oct,Wed,"3,057","15,066",728,220,28,58,"1,589",268,49,20,317,55,155,58
10/24/2019,Oct,Thu,"2,521","8,392",897,175,26,25,"1,000",309,84,26,393,45,219,45
10/25/2019,Oct,Fri,"2,527","8,484",804,230,1,12,"1,048",468,116,49,584,74,296,98
10/26/2019,Oct,Sat,"2,658","10,265",622,186,13,35,"1,171",322,82,29,404,40,224,58
10/27/2019,Oct,Sun,"2,535","8,478",792,208,10,26,"1,044",307,63,24,370,51,218,38
10/28/2019,Oct,Mon,"2,927","14,243",801,193,15,61,"1,443",269,50,26,319,43,171,55
10/29/2019,Oct,Tue,"2,632","10,355",857,211,19,34,"1,156",388,62,40,450,72,265,51
10/30/2019,Oct,Wed,"2,792","11,639",744,202,5,39,"1,239",281,37,24,318,69,165,47
10/31/2019,Oct,Thu,"2,436","8,349",913,169,13,27,927,293,57,24,350,78,169,46
11/1/2019,Nov,Fri,"2,732","11,989",802,229,31,28,"1,295",429,79,41,508,111,236,82
11/2/2019,Nov,Sat,"2,893","11,438",680,167,37,48,"1,395",368,62,33,430,85,228,55
11/3/2019,Nov,Sun,"2,687","9,146",753,201,18,38,"1,124",331,71,34,402,35,223,73
11/4/2019,Nov,Mon,"2,905","13,906",755,201,28,54,"1,435",325,69,26,394,67,190,68
11/5/2019,Nov,Tue,"2,583","8,753",805,204,8,29,"1,049",265,53,27,318,37,191,37
11/6/2019,Nov,Wed,"2,985","14,823",821,232,18,51,"1,530",275,58,29,333,40,191,44
11/7/2019,Nov,Thu,"2,477","8,470",898,170,7,32,938,292,54,27,346,80,159,53
11/8/2019,Nov,Fri,"2,599","8,687",858,201,10,25,"1,043",463,88,44,551,90,291,82
11/9/2019,Nov,Sat,"2,925","11,293",609,219,17,44,"1,433",252,65,21,317,22,158,72
11/10/2019,Nov,Sun,"2,959","8,835",831,216,41,35,"1,436",335,57,34,392,17,268,50
11/11/2019,Nov,Mon,"2,616","8,901",787,230,9,22,"1,086",317,73,27,390,75,165,77
11/12/2019,Nov,Tue,"2,531","8,310",820,218,4,8,976,322,61,25,383,63,203,56
11/13/2019,Nov,Wed,"2,980","13,321",776,197,28,56,"1,457",297,73,19,370,71,178,48
11/14/2019,Nov,Thu,"2,669","10,665",843,191,1,35,"1,179",297,62,24,359,53,188,56
11/15/2019,Nov,Fri,"2,554","9,284",843,198,11,29,"1,049",470,112,54,582,97,299,74
11/16/2019,Nov,Sat,"2,697","10,784",623,169,15,51,"1,212",335,66,27,401,33,283,19
11/17/2019,Nov,Sun,"2,647","8,753",796,193,22,28,"1,106",439,100,37,539,80,278,81
11/18/2019,Nov,Mon,"3,030","14,986",588,245,18,50,"1,591",247,59,24,306,10,213,24
11/19/2019,Nov,Tue,"2,601","9,018",888,205,8,33,"1,077",342,83,24,425,72,181,89
11/20/2019,Nov,Wed,"2,999","13,635",718,237,9,51,"1,511",256,57,19,313,29,174,53
11/21/2019,Nov,Thu,"2,485","8,581",908,187,7,25,960,360,82,24,442,53,255,52
11/22/2019,Nov,Fri,"2,768","10,690",680,301,2,15,"1,344",397,66,34,463,99,212,86
11/23/2019,Nov,Sat,"2,641","9,877",719,195,12,51,"1,183",429,87,42,516,52,296,81
11/24/2019,Nov,Sun,"2,804","9,714",665,183,32,44,"1,297",391,75,41,466,60,267,64
11/25/2019,Nov,Mon,"2,539","8,674",733,193,13,35,"1,026",370,74,37,444,65,239,66
11/26/2019,Nov,Tue,"2,555","8,593",691,195,15,35,"1,067",290,55,24,345,37,190,63
11/27/2019,Nov,Wed,"2,496","8,757",890,159,3,43,947,56,3,1,60,N/A,N/A,N/A
11/28/2019,Nov,Thu,"2,834","10,956","1,234",122,12,72,"1,264",401,72,31,473,110,231,60
11/29/2019,Nov,Fri,"2,938","13,002",697,174,20,76,"1,438",360,42,28,402,94,205,61
11/30/2019,Nov,Sat,"2,543","9,342",824,175,7,32,"1,024",367,62,39,429,86,216,65
12/1/2019,Dec,Sun,"2,918","10,897",742,209,16,44,"1,379",304,62,25,366,49,195,60
12/2/2019,Dec,Mon,"2,649","9,532",840,198,10,26,"1,066",314,66,21,380,92,154,68
12/3/2019,Dec,Tue,"2,573","9,071",822,219,2,17,"1,072",349,74,27,423,53,228,68
12/4/2019,Dec,Wed,"2,572","9,081",791,184,5,37,"1,023",235,43,22,278,48,155,32
12/5/2019,Dec,Thu,"2,510","8,701",951,172,8,31,979,327,54,27,381,79,177,71
12/6/2019,Dec,Fri,"2,490","8,150",836,197,5,21,976,398,84,29,482,90,232,76
12/7/2019,Dec,Sat,"2,691","10,461",727,177,14,40,"1,164",479,81,53,560,124,273,82
12/8/2019,Dec,Sun,"2,778","9,266",630,196,23,31,"1,235",349,72,30,421,53,228,68
